incident_id,categoria,subcategoria,prioridad,servicio_afectado,canal_entrada,tiempo_resolucion_horas,sla_incumplido,reaperturas,escalados,satisfaccion_usuario,coste_estimado,descripcion_corta,causa_raiz_simulada,synthetic_segment
INC-2026-000001,Soporte,Solicitud,baja,Portal clientes,api,5.06,False,0,0,8.9,63.65,Usuario reporta problema en Portal clientes; se detecta Solicitud.,Error de usuario,Incidencias simples de bajo impacto
INC-2026-000002,Infraestructura,CPU alta,alta,Portal clientes,portal,1.0,False,2,0,4.9,1420.79,Portal clientes: CPU alta asociado a Capacidad insuficiente.,,Incidencias criticas recurrentes
INC-2026-000003,Cambios,Rollback,media,API pagos,email,32.11,True,3,1,7.2,2265.17,Usuario reporta problema en API pagos; se detecta Rollback.,Configuracion inconsistente,Incidencias asociadas a cambios
INC-2026-000004,Soporte,Permisos,media,Portal clientes,portal,3.48,False,0,0,8.2,33.36,Soporte reporta Permisos con posible causa Error de usuario.,Error de usuario,Incidencias simples de bajo impacto
INC-2026-000005,Cambios,Versionado,media,Plataforma cloud,,16.73,False,1,2,6.0,1552.5,Plataforma cloud: Versionado asociado a Rollback incompleto.,Rollback incompleto,Incidencias asociadas a cambios
INC-2026-000006,Soporte,Configuracion usuario,baja,Mesa de ayuda,email,5.41,False,0,0,7.9,134.13,Mesa de ayuda: Configuracion usuario asociado a Solicitud operativa.,Solicitud operativa,Incidencias simples de bajo impacto
INC-2026-000007,Infraestructura,Red,alta,IAM,email,12.9,True,0,3,6.1,1695.92,IAM: Red asociado a Regla de escalamiento debil.,Regla de escalamiento debil,Incidencias criticas recurrentes
INC-2026-000008,Seguridad,Phishing,critica,Red corporativa,monitoreo,7.46,True,1,3,7.0,4829.44,Red corporativa: Phishing asociado a Politica de acceso debil.,Politica de acceso debil,Incidencias de seguridad
INC-2026-000009,Soporte,Configuracion usuario,media,Portal clientes,monitoreo,1.38,False,0,0,8.5,39.63,Soporte reporta Configuracion usuario con posible causa Solicitud operativa.,Solicitud operativa,Incidencias simples de bajo impacto
INC-2026-000010,Soporte,Solicitud,baja,Portal clientes,portal,7.17,False,0,0,8.0,71.39,Soporte reporta Solicitud con posible causa Configuracion menor.,Configuracion menor,Incidencias simples de bajo impacto
INC-2026-000011,Base de datos,Backup,critica,ERP financiero,monitoreo,20.96,True,3,0,4.8,2730.44,Incidencia en ERP financiero; patron observado: Backup.,Monitoreo tardio,Incidencias criticas recurrentes
INC-2026-000012,Aplicacion,Lentitud,baja,Red corporativa,email,3.97,False,0,0,9.5,20.0,Usuario reporta problema en Red corporativa; se detecta Lentitud.,Documentacion insuficiente,Incidencias simples de bajo impacto
INC-2026-000013,Seguridad,Malware,alta,Red corporativa,email,25.83,True,2,2,6.3,3937.87,Incidencia en Red corporativa; patron observado: Malware.,Credenciales comprometidas,Incidencias de seguridad
INC-2026-000014,Infraestructura,Red,media,Correo corporativo,monitoreo,64.01,True,1,1,8.5,4396.21,Usuario reporta problema en Correo corporativo; se detecta Red.,Dependencia de terceros,Incidencias complejas de larga resolucion
INC-2026-000015,Seguridad,Vulnerabilidad,critica,Plataforma cloud,portal,4.22,True,0,2,5.1,329.51,Usuario reporta problema en Plataforma cloud; se detecta Vulnerabilidad.,Politica de acceso debil,Incidencias de seguridad
INC-2026-000016,Infraestructura,Storage,alta,ERP financiero,portal,20.02,True,0,0,5.5,3981.38,Infraestructura reporta Storage con posible causa Diagnostico incompleto.,Diagnostico incompleto,Incidencias complejas de larga resolucion
INC-2026-000017,Soporte,Solicitud,baja,Correo corporativo,portal,5.55,False,0,0,8.3,85.96,Incidencia en Correo corporativo; patron observado: Solicitud.,Configuracion menor,Incidencias simples de bajo impacto
INC-2026-000018,Soporte,Configuracion usuario,baja,Portal clientes,portal,4.22,False,0,0,7.5,90.67,Usuario reporta problema en Portal clientes; se detecta Configuracion usuario.,Error de usuario,Incidencias simples de bajo impacto
INC-2026-000019,Seguridad,Malware,critica,Correo corporativo,email,12.42,True,0,0,,3571.63,Seguridad reporta Malware con posible causa Phishing.,Phishing,Incidencias de seguridad
INC-2026-000020,Soporte,Permisos,baja,Correo corporativo,portal,7.54,False,0,0,8.9,102.95,Incidencia en Correo corporativo; patron observado: Permisos.,Error de usuario,Incidencias simples de bajo impacto
INC-2026-000021,Soporte,Permisos,media,Correo corporativo,monitoreo,3.29,False,0,0,8.6,51.99,Usuario reporta problema en Correo corporativo; se detecta Permisos.,Documentacion insuficiente,Incidencias simples de bajo impacto
INC-2026-000022,Base de datos,Consulta lenta,alta,Base de datos transaccional,telefono,75.32,True,2,3,5.9,2600.62,Base de datos transaccional: Consulta lenta asociado a Diagnostico incompleto.,Diagnostico incompleto,Incidencias complejas de larga resolucion
INC-2026-000023,Infraestructura,Red,alta,IAM,portal,21.98,True,2,3,6.0,1119.06,Usuario reporta problema en IAM; se detecta Red.,Capacidad insuficiente,Incidencias criticas recurrentes
INC-2026-000024,Base de datos,Consulta lenta,alta,ERP financiero,monitoreo,17.15,True,0,1,7.8,1812.05,Usuario reporta problema en ERP financiero; se detecta Consulta lenta.,Capacidad insuficiente,Incidencias criticas recurrentes
INC-2026-000025,Soporte,Configuracion usuario,baja,Correo corporativo,monitoreo,7.97,False,0,0,8.7,22.2,Soporte reporta Configuracion usuario con posible causa Error de usuario.,Error de usuario,Incidencias simples de bajo impacto
INC-2026-000026,Aplicacion,Error 500,alta,Red corporativa,,15.95,True,1,4,5.7,1158.66,Aplicacion reporta Error 500 con posible causa Monitoreo tardio.,Monitoreo tardio,Incidencias criticas recurrentes
INC-2026-000027,Soporte,Solicitud,baja,Portal clientes,api,5.31,False,0,0,10.0,102.21,Usuario reporta problema en Portal clientes; se detecta Solicitud.,Error de usuario,Incidencias simples de bajo impacto
INC-2026-000028,Infraestructura,Storage,media,ERP financiero,email,29.43,True,4,7,6.2,2697.7,Usuario reporta problema en ERP financiero; se detecta Storage.,Dependencia de terceros,Incidencias complejas de larga resolucion
INC-2026-000029,Soporte,Consulta,baja,Portal clientes,telefono,4.25,False,0,0,9.0,20.0,Incidencia en Portal clientes; patron observado: Consulta.,Solicitud operativa,Incidencias simples de bajo impacto
INC-2026-000030,Infraestructura,Memoria,media,Red corporativa,monitoreo,72.6,True,2,3,4.6,4550.7,Usuario reporta problema en Red corporativa; se detecta Memoria.,Diagnostico incompleto,Incidencias complejas de larga resolucion
